timestamp,current_task,EE_x,EE_y,EE_z,EE_rx,EE_ry,EE_rz,joint1_angle,joint2_angle,joint3_angle,joint4_angle,joint5_angle,joint6_angle,joint1_velocity,joint2_velocity,joint3_velocity,joint4_velocity,joint5_velocity,joint6_velocity,joint1_torque,joint2_torque,joint3_torque,joint4_torque,joint5_torque,joint6_torque,joint1_acceleration,joint2_acceleration,joint3_acceleration,joint4_acceleration,joint5_acceleration,joint6_acceleration,waypoint,description
2026-01-27 19:15:59.084,home_start,364.002,-311.973,1872.101,-179.973,0.562,-0.393,-219.308,17.401,-104.088,-0.357,-93.767,-38.937,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.29,2.0,-0.15,0.01,0.06,0.0,0.0,0.0,0.0,0.0,0.0,waypoint,
2026-01-27 19:15:59.175,home_start,364.002,-311.973,1872.101,-179.973,0.562,-0.393,-219.308,17.401,-104.088,-0.357,-93.767,-38.937,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.47,3.65,-0.37,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,,
2026-01-27 19:15:59.383,home_start,364.002,-311.973,1872.101,-179.973,0.562,-0.393,-219.308,17.401,-104.088,-0.357,-93.767,-38.937,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.9,6.12,-0.63,0.03,0.04,0.0,0.0,0.0,0.0,0.0,0.0,,
2026-01-27 19:15:59.585,home_start,364.002,-311.973,1872.101,-179.973,0.562,-0.393,-219.308,17.401,-104.088,-0.357,-93.767,-38.937,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,1.09,7.6,-0.74,0.01,0.03,0.0,0.0,0.0,0.0,0.0,0.0,,
2026-01-27 19:15:59.792,home_start,364.002,-311.973,1872.101,-179.973,0.562,-0.393,-219.308,17.401,-104.088,-0.357,-93.767,-38.937,0.0,0.0,0.0,0.0,0.0,0.0,0.04,1.24,8.59,-0.85,0.07,-0.04,0.0,0.0,0.0,0.0,0.0,0.0,,
2026-01-27 19:15:59.996,home_start,364.002,-311.973,1872.101,-179.973,0.562,-0.393,-219.308,17.401,-104.088,-0.357,-93.767,-38.937,0.0,0.0,0.0,0.0,0.0,0.0,-0.09,1.24,9.29,-0.8,0.04,0.05,0.0,0.0,0.0,0.0,0.0,0.0,,
2026-01-27 19:16:00.199,home_start,364.002,-311.973,1872.101,-179.973,0.562,-0.393,-219.308,17.401,-104.088,-0.357,-93.767,-38.937,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,1.41,9.58,-0.91,-0.05,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,,
2026-01-27 19:16:00.402,home_start,364.002,-311.973,1872.101,-179.973,0.562,-0.393,-219.308,17.401,-104.088,-0.357,-93.767,-38.937,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.39,9.91,-0.91,0.02,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,,
2026-01-27 19:16:00.608,home_start,364.002,-311.973,1872.101,-179.973,0.562,-0.393,-219.308,17.401,-104.088,-0.357,-93.767,-38.937,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,1.31,9.98,-1.04,-0.01,0.08,0.0,0.0,0.0,0.0,0.0,0.0,,
2026-01-27 19:16:00.812,home_start,364.002,-311.973,1872.101,-179.973,0.562,-0.393,-219.308,17.401,-104.088,-0.357,-93.767,-38.937,0.0,0.0,0.0,0.0,0.0,0.0,-0.05,1.44,10.15,-0.95,-0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,,
2026-01-27 19:16:01.017,home_start,364.002,-311.973,1872.101,-179.973,0.562,-0.393,-219.308,17.401,-104.088,-0.357,-93.767,-38.937,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,1.43,10.24,-0.9,-0.04,-0.05,0.0,0.0,0.0,0.0,0.0,0.0,,
2026-01-27 19:16:01.118,home_to_approach_feeder,376.631,-310.677,1852.2,-179.352,1.325,0.261,-218.255,16.695,-105.178,-0.341,-92.957,-38.522,2.631,-1.763,-2.726,0.038,2.025,1.038,0.25,1.78,10.01,-0.94,2.23,0.48,10.525,-7.054,-10.903,0.152,8.099,4.152,,
2026-01-27 19:16:01.222,home_to_approach_feeder,396.673,-308.809,1822.061,-179.22,1.533,0.504,-216.677,15.643,-106.817,-0.328,-90.519,-37.169,5.918,-3.954,-6.141,0.062,7.614,4.16,0.36,2.06,9.85,-1.0,4.63,1.02,14.726,-9.819,-15.298,0.117,23.572,13.11,,
2026-01-27 19:16:01.322,home_to_approach_feeder,415.159,-305.8,1793.314,-179.298,1.484,0.48,-215.185,14.649,-108.368,-0.318,-87.896,-35.64,8.169,-5.45,-8.483,0.072,12.268,6.944,0.46,2.44,9.69,-0.99,6.62,1.44,12.396,-8.254,-12.888,0.077,23.062,13.569,,
2026-01-27 19:16:01.424,home_to_approach_feeder,433.004,-301.226,1763.872,-179.403,1.389,0.395,-213.666,13.636,-109.948,-0.308,-85.174,-34.023,9.926,-6.619,-10.312,0.079,16.007,9.249,0.63,2.81,9.59,-1.01,8.09,1.69,11.434,-7.612,-11.89,0.065,21.751,13.083,,
2026-01-27 19:16:01.525,home_to_approach_feeder,448.189,-295.783,1737.082,-179.496,1.296,0.307,-212.287,12.718,-111.381,-0.299,-82.7,-32.547,10.892,-7.26,-11.317,0.081,18.189,10.627,0.69,3.09,9.6,-0.92,8.9,2.01,8.88,-5.911,-9.235,0.047,17.087,10.371,,
2026-01-27 19:16:01.627,home_to_approach_feeder,462.05,-289.328,1710.849,-179.58,1.203,0.222,-210.938,11.819,-112.783,-0.29,-80.283,-31.103,11.541,-7.691,-11.993,0.082,19.684,11.58,0.78,3.51,9.55,-0.95,9.62,2.16,7.692,-5.12,-8.0,0.039,14.811,9.008,,
